beta,median,min,5 quantile,95 quantile,theory,deterministic
0.00001,0.463346551584491,0.363143748369875,0.386952845964005,0.711711895591617,0.166661111118519,0.49438219
0.015625,0.383406869366033,0.138775544285046,0.259110868728082,0.498652983028222,0.158007234462348,0.49324931
0.03125,0.351815947192982,0.151133531488738,0.196312291145311,0.462235976796409,0.149402390438247,0.49163212
0.0625,0.313021566157058,0.169064726514441,0.205167840937465,0.426940951964413,0.132432432432432,0.48192371
0.125,0.296327238230298,0.0973755821837906,0.16282638866148,0.440706986067859,0.1,0.46554801
0.1875,0.273671170537995,0.088870105133963,0.167865797553313,0.395296344641177,0.0706214689265537,0.44793626
0.24999,0.217876649768033,0.0520579620255667,0.100532374943895,0.379337744359922,0.045458181884297,0.43830141
