Beta,Average,Median,CI,Theoretical,Conjecture
1.00E-05,0.508147483235889,0.509422246440428,0.0136683949651606,0.166661111118519,0.499995
0.0625,0.485427222658129,0.486699339163226,0.0117941496987104,0.132432432432432,0.46875
0.125000,0.440634569750169,0.442862419271147,0.0109394042126191,0.1,0.4375
0.250000,0.369604362507456,0.372207003416763,0.0139300573256577,0.0454545454545455,0.375
0.375000,0.304782088768911,0.300503984873009,0.0141771235607035,0.0111111111111111,0.3125
0.437500,0.290488272854744,0.288064146861473,0.0147235496332805,0.0027027027027027,0.28125
0.500000,0.282750840676336,0.27923126575705,0.014904619848028,0,0.25
