?,1/64,1/32,1/16,2/16,3/16,1/4-?
0.510474228,0.446271109,0.237162596,0.276068392,0.323374973,0.325239024,0.116236308
0.64433586,0.481694089,0.368919042,0.327264951,0.379968128,0.174538582,0.304262993
0.686666152,0.459011004,0.303888931,0.285384292,0.280820223,0.196548162,0.220137187
0.507849757,0.460129781,0.349334994,0.294396556,0.365312735,0.205851627,0.395634932
0.513344072,0.351459153,0.335670903,0.377467584,0.348112662,0.277254547,0.337240481
0.56954302,0.414015558,0.235760177,0.362742914,0.141885607,0.174873325,0.307466245
0.555358818,0.308826699,0.308217072,0.326607673,0.151275305,0.232115736,0.245286397
0.454714287,0.353395152,0.410809179,0.315906075,0.16343434,0.331477061,0.157623818
0.448008708,0.383731823,0.373857628,0.283290624,0.279876967,0.191515278,0.208342244
0.387013867,0.498635781,0.454292024,0.580555619,0.24426458,0.291950911,0.124028915
0.38579344,0.310194051,0.413044893,0.410513604,0.249176778,0.179389382,0.133315714
0.475762651,0.369495149,0.173426089,0.353170914,0.329649274,0.359946636,0.069028667
0.711531011,0.395151492,0.413854738,0.284172799,0.364128499,0.36088018,0.331576148
0.491723775,0.364049074,0.247073016,0.363325582,0.326217245,0.27416983,0.090137466
0.408611114,0.340078313,0.194680949,0.309439197,0.241297561,0.088870105,0.287858576
0.563863139,0.384799803,0.241146286,0.283041078,0.188620899,0.369096511,0.151915674
0.457390708,0.138775544,0.363606078,0.304524115,0.320604949,0.305377901,0.158465311
0.424170412,0.38781714,0.274799757,0.314982097,0.230843215,0.492716321,0.172327233
0.453976209,0.259508529,0.167989678,0.272417031,0.341895464,0.35963836,0.318185464
0.480855588,0.318086161,0.331368516,0.279126007,0.295068975,0.270887489,0.196843163
